,0,1,2,3
0,Accl,-2.99,-0.34,8.57
6,Accl,-0.22,-0.54,9.16
12,Accl,-0.25,-0.55,9.37
18,Accl,-0.26,-0.51,9.22
24,Accl,-0.21,-0.39,9.31
30,Accl,-0.03,-0.39,9.51
36,Accl,-0.01,-0.38,9.58
42,Accl,-0.15,-0.31,9.40
48,Accl,-0.05,-0.35,9.51
54,Accl,-0.26,-0.43,9.36
60,Accl,-0.86,-0.21,9.17
66,Accl,0.64,-0.47,9.34
72,Accl,-1.01,-0.13,10.08
78,Accl,0.23,-0.71,9.77
84,Accl,-0.79,-0.61,9.41
90,Accl,-0.67,-0.50,9.52
96,Accl,-0.58,-0.55,9.57
102,Accl,-0.45,-0.48,9.61
108,Accl,-0.43,-0.56,9.60
114,Accl,-0.43,-0.52,9.54
120,Accl,-0.40,-0.55,9.59
126,Accl,-0.31,-0.66,9.56
132,Accl,-0.75,-0.68,9.96
138,Accl,0.96,-0.04,10.72
144,Accl,0.10,-0.28,9.84
150,Accl,-0.20,-0.47,9.44
156,Accl,-0.09,-0.36,9.58
162,Accl,0.20,-0.10,9.78
168,Accl,0.00,-0.40,9.64
174,Accl,0.08,-0.25,9.67
180,Accl,0.00,-0.31,9.60
186,Accl,-0.03,-0.27,9.48
192,Accl,-0.07,-0.57,9.41
198,Accl,-0.10,-0.47,9.47
204,Accl,-0.04,-0.03,9.51
210,Accl,-0.10,-0.41,9.42
216,Accl,-0.05,-0.55,9.47
222,Accl,0.09,-0.20,9.61
228,Accl,0.07,-0.24,9.57
234,Accl,0.08,-0.58,9.61
240,Accl,0.24,-0.17,9.61
246,Accl,0.08,-0.30,9.56
252,Accl,0.02,-0.47,9.57
258,Accl,0.02,-0.27,9.51
264,Accl,0.09,-0.38,9.59
270,Accl,0.09,-0.34,9.59
276,Accl,0.15,-0.37,9.63
282,Accl,-0.06,-0.41,9.50
288,Accl,0.04,-0.35,9.56
294,Accl,0.00,-0.41,9.54
300,Accl,-0.03,-0.30,9.54
306,Accl,0.05,-0.29,9.62
312,Accl,0.01,-0.42,9.52
318,Accl,0.08,-0.37,9.53
324,Accl,0.12,-0.34,9.58
330,Accl,0.09,-0.34,9.56
336,Accl,0.06,-0.27,9.55
342,Accl,0.09,-0.32,9.62
